,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
0,335.7433331012726,0.47102832794189453,7.042717334115878e-05,5.37226878805086e-05,0.0003991885937480482,0.000314109751601194,0.8510224986139823,0.8235995973190414
1,337.7672231197357,0.46634602546691895,5.20252033311408e-05,5.054306529927999e-05,0.0002993185820610656,0.0003188578374284619,0.847921427158547,0.8353327091862177
2,329.16104102134705,0.7830684185028076,4.311923839850351e-05,5.002698890166357e-05,0.00032412953233432683,0.0003221050709381264,0.7820112806166188,0.8395214621566531
3,334.43961358070374,0.7343008518218994,3.6382269172463566e-05,4.112845635972917e-05,0.0004402997959832591,0.0002840543712517944,0.7288120591761376,0.8553812311408736
4,340.46767568588257,0.36694931983947754,5.816285192850046e-05,5.3233605285640806e-05,0.0005057704044203978,0.0002941696678893784,0.6933775987805716,0.854783450994032
