,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
0,3853.49804854393,21.618459701538086,8.8548767962493e-06,8.901201908884104e-06,0.04701710535922106,0.04382214788607051,0.5484740066467273,0.5721529746892832
1,3842.1477947235107,34.454309701919556,1.7601185390958562e-05,1.7749887774698436e-05,0.049749337852959166,0.047655060518068997,0.5237916280255039,0.5343501957754231
2,3856.844110250473,21.08925199508667,1.0200972610618919e-05,1.0281941285938956e-05,0.0467115640389383,0.04412787563894136,0.5444219674264036,0.5708866531255161
3,3859.7359828948975,17.815374612808228,7.230530172819272e-06,7.150696546887048e-06,0.04162149661706753,0.045342920228306306,0.5880417195476793,0.5606402569214948
4,3860.714914560318,29.885697603225708,1.8947446733363904e-05,1.888718907139264e-05,0.04766071639691321,0.047097647848794395,0.5308378266439364,0.5430871206907111
