,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
0,246.40279269218445,0.35514211654663086,0.001371568301692605,0.0013591974275186658,0.0012864878046409288,0.0012581989741828027,0.9360139406212468,0.9447400085624998
1,247.9233422279358,0.32418036460876465,0.0013947683619335294,0.0013850420946255326,0.0012678744136661812,0.0012988926016677027,0.9504469926191417,0.9382500491160912
2,237.53982019424438,1.7880783081054688,0.001357572735287249,0.0013931787107139826,0.0012585570954858594,0.001287414560309513,0.9417891854500279,0.9435690518887375
3,251.4282569885254,0.3175342082977295,0.0014122218126431108,0.0013803999172523618,0.0013361012662727845,0.0012717685874207658,0.9401117296866074,0.9433047243455953
4,252.23759508132935,0.27426624298095703,0.0013688597828149796,0.0013685966841876507,0.0012642814228591066,0.0012717903187181633,0.9409219778793853,0.943249198689403
